,title,author,journal,volume,pagerange,date,doi
Tabular / Spreadsheet Visualization + Visualization Concepts ID:4,Nonlinear Effects of Multiscale Road Network Features on Traffic Accidents,Zhou F.,Tropical Geography,45,1344-1357,August 2025,10.13284/j.cnki.rddl.20240777
Tabular / Spreadsheet Visualization + Visualization Concepts ID:5,Dataset for Traffic Accident Analysis in Poland: Integrating Weather Data and Sociodemographic Factors,Faruga Ł.,Applied Sciences Switzerland,15,,July 2025,10.3390/app15137362
Tabular / Spreadsheet Visualization + Visualization Concepts ID:6,Explainable artificial intelligence visions on incident duration using eXtreme Gradient Boosting and SHapley Additive exPlanations,Hamad K.,Multimodal Transportation,4,,June 2025,10.1016/j.multra.2025.100209
Tabular / Spreadsheet Visualization + Visualization Concepts ID:7,Can tire wear be detected using vibration signals?–an experimental study,Prasshanth C.V.,International Journal of System Assurance Engineering and Management,16,1899-1913,May 2025,10.1007/s13198-025-02756-x
Tabular / Spreadsheet Visualization + Visualization Concepts ID:8,"Modelling low temporal, large spatial data of fatal crashes: An application of negative binomial GSARIMAX time series",Ghalehnovi S.,Accident Analysis and Prevention,214,,May 2025,10.1016/j.aap.2025.107958
Tabular / Spreadsheet Visualization + Visualization Concepts ID:9,Analyzing Traffic Accident Trends and Correlations in Iraq: An Investigative Statistical Approach,Hassooni D.K.,Aip Conference Proceedings,3303,,31 March 2025,10.1063/5.0264564
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:0,Crash analysis for urban road networks: Semi-parametric spatial negative binomial models with monotonic constraints,Xia M.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108329
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:1,Unpacking temporal trends in U.S. road injury mortality by mode of transportation and sex: An age–period–cohort analysis,Hsu C.K.,Cities,169,,February 2026,10.1016/j.cities.2025.106492
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:2,An examination of skeletal fracture patterns in car occupants following fatal motor vehicle incidents,Wulff A.R.,Forensic Science International,379,,January 2026,10.1016/j.forsciint.2025.112740
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:3,Epidemiology of pediatric road traffic injuries: a multicenter hospital-based study in Ghana,Appiah A.B.,Injury Epidemiology,12,,December 2025,10.1186/s40621-025-00646-1
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:4,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Alnowaiser K.,International Journal of Computational Intelligence Systems,18,,December 2025,10.1007/s44196-025-01015-y
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:5,National trends in road traffic injuries and fatalities in Saudi Arabia from 2000 to 2023,Alharbi R.J.,Scientific Reports,15,,December 2025,10.1038/s41598-025-15217-z
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:6,Prevalence of post-traumatic stress disorder and its associated factors among survivors of road traffic accidents in Kathmandu valley,Acharya A.,BMC Public Health,25,,December 2025,10.1186/s12889-025-24475-5
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:7,"Work-related eye injuries among Social Security-insured workers in Brazil: magnitude and temporal trend, 2003–2019",dos Santos Júnior C.J.,Discover Public Health,22,,December 2025,10.1186/s12982-025-00651-1
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:8,"When do emergencies happen? Exploring circadian, weekly, and seasonal trends in ambulance calls in Cyprus",Protopapas A.,International Emergency Nursing,83,,December 2025,10.1016/j.ienj.2025.101686
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:9,Smartphone addiction and its association with accident risk in Iranian adults,Azami-Aghdash S.,Scientific Reports,15,,December 2025,10.1038/s41598-025-05101-1
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:10,"Magnitude and temporal evolution of traffic injuries and deaths in Brazil, 2001 to 2021",Souza E.R.d.,Ciencia Saude Coletiva,30,e15372025,1 October 2025,10.1590/1413-812320253010.15372025
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:11,Effect of COVID-19 restrictions and fuel prices on traffic volume and offenses in Iran: A spatiotemporal analysis,Delavary M.,Plos One,20,,October 2025,10.1371/journal.pone.0332443
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:12,Open skull fractures and sepsis: Evidence towards a targeted antibiotic prophylactic recommendation,Hoffman J.P.,Clinical Neurology and Neurosurgery,257,,October 2025,10.1016/j.clineuro.2025.109050
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:13,Trends in isolated chest trauma in Japan: a 15-year analysis using the Japan Trauma Data Bank,Igai H.,Journal of Thoracic Disease,17,5734-5743,31 August 2025,10.21037/jtd-2025-88
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:14,"Epidemiological characteristics of injury deaths in local residents in Nanjing, 2009-2023",Zhang T.,Chinese Journal of Epidemiology,46,1196-1203,10 July 2025,10.3760/cma.j.cn112338-20241111-00713
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:15,Spatio-temporal analysis of road traffic crashes by severity,Gedamu W.T.,Transportation Engineering,20,,June 2025,10.1016/j.treng.2025.100327
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:16,Management and outcomes of pediatric traumatic brain injury in Nigeria: a systematic review,Woo J.,Journal of Neurosurgery Pediatrics,35,627-636,June 2025,10.3171/2024.12.PEDS24437
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:17,"Modelling low temporal, large spatial data of fatal crashes: An application of negative binomial GSARIMAX time series",Ghalehnovi S.,Accident Analysis and Prevention,214,,May 2025,10.1016/j.aap.2025.107958
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:18,A systematic analysis on global epidemiology and burden of foot fracture over three decades,Chen C.,Chinese Journal of Traumatology English Edition,28,208-215,May 2025,10.1016/j.cjtee.2024.03.001
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:19,"Traffic crash prediction in Kano, Nigeria: multivariate long short-term memory method",Labbo M.S.,Proceedings of the Institution of Civil Engineers Transport,178,184-191,23 April 2025,10.1680/jtran.24.00003
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:20,Towards Enhancing Road Safety in South Carolina Using Insights from Traffic and Driver-Education Data,Gupta N.,Proceedings of the Aaai Conference on Artificial Intelligence,39,29385-29387,11 April 2025,10.1609/aaai.v39i28.35260
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:21,Epidemiology of Traumatic Injuries at a Single Regional Trauma Center in South Korea: Age-Specific and Temporal Trends (2014–2023),Jeon S.,Healthcare Switzerland,13,,April 2025,10.3390/healthcare13070773
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:22,Influence of road safety policies on the long-term trends in fatal Crashes: A Gaussian Copula-based time series count model with an autoregressive moving average process,Lian Y.,Accident Analysis and Prevention,211,,March 2025,10.1016/j.aap.2024.107795
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:23,Cause-Specific Secular Trends and Prevention Measures of Post-Neonatally Acquired Cerebral Palsy in Victoria and Western Australia 1975–2014: A Population-Based Observational Study,Waight E.,Journal of Paediatrics and Child Health,61,424-432,March 2025,10.1111/jpc.16760
Tabular / Spreadsheet Visualization + Analytical Dimension / Focus ID:24,A new spatiotemporal convolutional neural network model for short-term crash prediction,Cai B.,Frontiers of Engineering Management,12,86-98,March 2025,10.1007/s42524-024-4040-8
Tabular / Spreadsheet Visualization + Audience / Application Context ID:0,Using Enforcement and Adjudication Data to Assess the Impact of a Primary Safety Belt Law,Costich J.F.,Traffic Injury Prevention,16,664-668,3 October 2015,10.1080/15389588.2014.999857
Tabular / Spreadsheet Visualization + Audience / Application Context ID:1,Evidence to inform intersectoral policies: A comparison of health and transport sector evidence in support of road traffic injury prevention,Bao J.,Health Research Policy and Systems,13,,"March 25, 2015",10.1186/s12961-015-0008-9
Tabular / Spreadsheet Visualization + Audience / Application Context ID:2,The accuracy of death certificates in identifying work-related fatal injuries,Kraus J.,American Journal of Epidemiology,141,973-979,15 May 1995,10.1093/oxfordjournals.aje.a117364
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:0,Decision Support System for Urban Road Safety: A Comparison Between Two Different City Size,Pinna M.,Lecture Notes in Computer Science,15889 LNCS,54-71,2026,10.1007/978-3-031-97603-2_4
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:1,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,Lecture Notes in Computer Science,15898 LNCS,87-104,2026,10.1007/978-3-031-97657-5_6
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:2,Spatiotemporal and behavioural correlates of cycling near misses: evidence from helmet-mounted video data,Christie N.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108272
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:3,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,Computational Urban Science,5,,December 2025,10.1007/s43762-025-00221-w
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:4,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,Iranian Journal of Epidemiology,20,219-232,Winter 2025,10.18502/ijre.v20i4.18869
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:5,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,Scientific Reports,15,,December 2025,10.1038/s41598-025-19651-x
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:6,How does the built environment affect driver behaviours? A methodological framework for large-scale analysis that combines Onboard Diagnostic and Geographical Data to promote Road Safety,Nicolosi V.,Transportation Engineering,22,,December 2025,10.1016/j.treng.2025.100384
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:7,Integrating climatic projections and geographical variables to predict road accident risks based on insights from the Khorramabad pole Zal axis under RCP scenarios,Moridi V.,Discover Environment,3,,December 2025,10.1007/s44274-025-00417-1
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:8,Analyzing pocket park locations and pedestrian accident rates using Generative Adversarial Networks,Li Y.,Cities,167,,December 2025,10.1016/j.cities.2025.106341
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:9,"Evaluating the impact of meteorological parameters on road accidents using spatial analysis: a case study of Semnan province, Iran",Ghazvinian H.,Spatial Information Research,33,,October 2025,10.1007/s41324-025-00645-w
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:10,Analysis of Spatial and Environmental Factors Beyond Speed Limits Affecting Drivers’ Speed Choice,Baek J.,Sustainability Switzerland,17,,October 2025,10.3390/su17209097
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:11,A data-driven spatial decision framework for assessing the relationship between logistics activities and heavy vehicle accident risks,Kaya Ö.,Research in Transportation Business and Management,62,,October 2025,10.1016/j.rtbm.2025.101440
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:12,Early Response Framework for Accident Detection and Prevention Through Multi-Zone Fog-Cloud Collaboration for Safety-Critical Applications,Mishra M.,Software Practice and Experience,55,1616-1634,September 2025,10.1002/spe.3439
Tabular / Spreadsheet Visualization + Software / Tools Mentioned ID:13,"Evaluation of indicators of aging-friendly urban indicators in 8 districts of Ahwaz metropolitan, southwest Iran",Asadollahi A.,Discover Applied Sciences,7,,September 2025,10.1007/s42452-025-07514-z
Tabular / Spreadsheet Visualization + Output Type ID:0,Surgical management of paediatric frontal fractures with and without sinus pneumatisation: a multicentre study,Sobrero F.,Journal of Stomatology Oral and Maxillofacial Surgery,127,,March 2026,10.1016/j.jormas.2025.102607
Tabular / Spreadsheet Visualization + Output Type ID:1,GPS-Based Toll Tracking and Speed Monitoring System,Jawale P.,Lecture Notes in Networks and Systems,1459 LNNS,335-346,2026,10.1007/978-981-96-7505-0_26
Tabular / Spreadsheet Visualization + Output Type ID:2,Integrated improved ant colony optimization and Q-learning for ice navigation route planning,Zhou J.,Ocean Engineering,342,,30 December 2025,10.1016/j.oceaneng.2025.122935
Tabular / Spreadsheet Visualization + Output Type ID:3,"Trends and disparities in motor vehicle collision injuries in Washington, D.C",Calder R.S.D.,Accident Analysis and Prevention,223,,December 2025,10.1016/j.aap.2025.108243
Tabular / Spreadsheet Visualization + Output Type ID:4,"Quantifying the potential gains in life expectancy from eliminating cardiovascular disease, road traffic injuries, and cancers in Iran",Naserian-Tarhan R.,BMC Research Notes,18,,December 2025,10.1186/s13104-025-07502-x
Tabular / Spreadsheet Visualization + Output Type ID:5,"When do emergencies happen? Exploring circadian, weekly, and seasonal trends in ambulance calls in Cyprus",Protopapas A.,International Emergency Nursing,83,,December 2025,10.1016/j.ienj.2025.101686
Tabular / Spreadsheet Visualization + Output Type ID:6,Epidemiological characteristics of pediatric trauma and the role of the Injury Severity Score in predicting mortality risk: a multicenter study,Bao Y.,European Journal of Pediatrics,184,,December 2025,10.1007/s00431-025-06586-8
Tabular / Spreadsheet Visualization + Output Type ID:7,Utility task vehicle crashes and injuries in Iowa,Sternhagen P.R.,Injury Epidemiology,12,,December 2025,10.1186/s40621-025-00595-9
Tabular / Spreadsheet Visualization + Output Type ID:8,Factors predicting the need for rescue decompressive craniectomy for refractory intracranial hypertension in pediatric traumatic brain injury,Schulien A.,Child S Nervous System,41,,December 2025,10.1007/s00381-025-07036-4
Tabular / Spreadsheet Visualization + Output Type ID:9,Evaluating road crash risk for a mega-event: an application to 2026 Milano-Cortina Winter Olympic games,Raccagni S.,Transportation Research Interdisciplinary Perspectives,34,,November 2025,10.1016/j.trip.2025.101709
Tabular / Spreadsheet Visualization + Output Type ID:10,Effectiveness of raised safety platforms: a systematic review of literature,Golbabaei F.,Transportation Research Interdisciplinary Perspectives,34,,November 2025,10.1016/j.trip.2025.101671
Tabular / Spreadsheet Visualization + Output Type ID:11,"Invited commentary on ‘Population health, health equity and health system impacts of light vehicle electrification: a modelling study in Aotearoa/New Zealand’",Nguyen Q.C.,Journal of Epidemiology and Community Health,79,819-820,1 November 2025,10.1136/jech-2025-224930
Tabular / Spreadsheet Visualization + Output Type ID:12,IoT-based crash detection system,Pramudhita A.N.,Aip Conference Proceedings,3334,,30 October 2025,10.1063/5.0295189
Tabular / Spreadsheet Visualization + Output Type ID:13,UAV-Based Transport Management for Smart Cities Using Machine Learning,Balivada S.,Smart Cities,8,,October 2025,10.3390/smartcities8050154
Tabular / Spreadsheet Visualization + Output Type ID:14,Collaborative Real-Time Single-Object Anomaly Detection Framework of Roadside Facilities for Traffic Safety and Management Using Efficient YOLO,Kang J.,Applied Sciences Switzerland,15,,October 2025,10.3390/app152011139
Tabular / Spreadsheet Visualization + Output Type ID:15,Cluster-based secure internet of vehicles with enhanced secure on-demand distance vector,Dhanare R.,Wireless Networks,31,4499-4517,October 2025,10.1007/s11276-025-04006-1
Tabular / Spreadsheet Visualization + Output Type ID:16,Split vs single-dose oral methotrexate in rheumatoid arthritis: a randomized controlled trial (SMART study),Prasad C.B.,Clinical Rheumatology,44,3869-3879,October 2025,10.1007/s10067-025-07646-y
Tabular / Spreadsheet Visualization + Output Type ID:17,Passable: An Intelligent Traffic Light System with Integrated Incident Detection and Vehicle Alerting,Alzamzami O.,Sensors,25,,September 2025,10.3390/s25185760
Tabular / Spreadsheet Visualization + Output Type ID:18,"Etiology and pattern of zygomatic bone fracture among patients with facial injuries attending Muhimbili National Hospital, Tanzania",Laizer P.J.,Pan African Medical Journal,52,,Sep - Dec 2025,10.11604/pamj.2025.52.13.42463
Tabular / Spreadsheet Visualization + Output Type ID:19,Management of Polytraumatized Patients: Challenges and Insights into Air Transfer,Anghele M.,Healthcare Switzerland,13,,September 2025,10.3390/healthcare13172181
Tabular / Spreadsheet Visualization + Output Type ID:20,Fracture Patterns in Fatal Free Falls: A Systematic Review of Intrinsic and Extrinsic Risk Factors and the Role of Postmortem CT,Woliński F.,Journal of Clinical Medicine,14,,September 2025,10.3390/jcm14176305
Tabular / Spreadsheet Visualization + Output Type ID:21,Risk-field assessment for signalized intersections using surrogate safety measure,Jeena S.L.,Journal of Safety Research,94,391-403,September 2025,10.1016/j.jsr.2025.07.003
Tabular / Spreadsheet Visualization + Output Type ID:22,An Analytical Framework for Clustering Roads Based on Crash Severity Analysis,khedher I.,SN Computer Science,6,,August 2025,10.1007/s42979-025-04097-9
Tabular / Spreadsheet Visualization + Output Type ID:23,Study on the Eye Movement Transfer Characteristics of Drivers Under Different Road Conditions,Hao Z.,Applied Sciences Switzerland,15,,August 2025,10.3390/app15158559
Tabular / Spreadsheet Visualization + Output Type ID:24,The multi-factor effects study on mechanical properties of rat skin using orthogonal experimental design,Yang S.,Journal of the Mechanical Behavior of Biomedical Materials,168,,August 2025,10.1016/j.jmbbm.2025.107018
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:0,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:1,Automated geolocalization of vehicles from UAV footage: evaluating measurement precision of object detection and segmentation methods,Ahmed M.W.,Applied Geomatics,18,,March 2026,10.1007/s12518-025-00662-2
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:2,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101666
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:3,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108311
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:4,A data-driven digital twin model for bridge health monitoring using feature fusion and unsupervised deep learning,Mousavi V.,Information Fusion,126,,February 2026,10.1016/j.inffus.2025.103534
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:5,Polynomial gated network: An intelligent classification method for driver fatigue based on EEG analysis,Huangfu C.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118973
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:6,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,Measurement Journal of the International Measurement Confederation,257,,15 January 2026,10.1016/j.measurement.2025.118864
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:7,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108305
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:8,A Survey on Deep Learning Techniques and Real-Time Applications in Traffic Sign Recognition,Pattnaik S.,Lecture Notes in Networks and Systems,1519 LNNS,57-65,2026,10.1007/978-981-96-8901-9_6
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:9,Low Visibility Forecasting Using Numerical Weather Prediction Data,Paul T.,Lecture Notes in Computer Science,16022,196-212,2026,10.1007/978-3-032-06129-4_12
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:10,Detection of Potholes Using Deep Learning and Image Processing Techniques,Kanchana M.,Lecture Notes in Networks and Systems,1359 LNNS,387-403,2026,10.1007/978-981-96-4933-4_27
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:11,Nominative Trademark Collision Analysis: A Study on the Performance of Natural Language Processing Models,Torres M.M.,Lecture Notes in Networks and Systems,1524 LNNS,301-315,2026,10.1007/978-3-031-97799-2_25
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:12,Harmony or hazard? Quantifying driver workload under music and navigation distractions using interpretable AI,Peng Z.,Safety Science,193,,January 2026,10.1016/j.ssci.2025.107024
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:13,DD-YOLO: A dual-channel dual-path YOLO network for target detection of blurred vehicles,Duan C.,Digital Signal Processing A Review Journal,168,,January 2026,10.1016/j.dsp.2025.105565
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:14,Involution and Kolmogorov-Arnold networks based computationally efficient algorithm for detection of road defect with use of oriented bounding boxes,Tomiło P.,Ain Shams Engineering Journal,17,,January 2026,10.1016/j.asej.2025.103848
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:15,Spectral Curvature Signature: A Frequency-Domain Descriptor for Driving Behavior Classification,Thai D.T.,Lecture Notes in Computer Science,16354 LNAI,371-383,2026,10.1007/978-981-95-4960-3_30
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:16,Evaluating Viaduct Surface Cracking on SLAM Point Clouds: Insights from an Italian Case Study,Pascucci N.,Lecture Notes in Networks and Systems,1675 LNNS,618-639,2026,10.1007/978-3-032-07986-2_39
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:17,Risk analysis of pedestrian crosswalks in airport drop-off zones based on integrated VISSIM–SSAM model,Qin M.x.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108279
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:18,Context reasoning-based vehicle traffic accident severity prediction using a machine learning algorithm in edge computing,Mahalakshmi V.,Engineering Research Express,7,,31 December 2025,10.1088/2631-8695/ae06f5
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:19,Residual generative adversarial network-driven Data enhancement for magnetic flux leakage-based defect recognition in oil and gas pipelines,Liu B.,Engineering Applications of Artificial Intelligence,162,,24 December 2025,10.1016/j.engappai.2025.112720
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:20,"Driver risk classification for transportation safety: A machine learning approach using psychological, physiological, and demographic factors with driving simulator",Masmoudi M.,Engineering Applications of Artificial Intelligence,162,,22 December 2025,10.1016/j.engappai.2025.112585
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:21,A hybrid ARIMA-BP approach for superior accuracy in predicting traffic accident losses,Liu J.,Scientific Reports,15,,December 2025,10.1038/s41598-025-09888-x
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:22,An explainable multi-task deep learning framework for crash severity prediction using multi-source data,Xiao Y.,Scientific Reports,15,,December 2025,10.1038/s41598-025-09226-1
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:23,Traffic accident severity prediction based on an enhanced MSCPO-XGBoost hybrid model,Chen F.,Scientific Reports,15,,December 2025,10.1038/s41598-025-00797-7
Tabular / Spreadsheet Visualization + Evaluation / User Study ID:24,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Alnowaiser K.,International Journal of Computational Intelligence Systems,18,,December 2025,10.1007/s44196-025-01015-y
